Dato,Hash
1,d03d1fbf879c8186fed486a72b164705a9395badc6f87df8db6591f33ac20f80
2,f7bc18641fa9d55b48c5dfbd0729da2442a697dc99df81f1566a938a85c9fa46
3,8c9309f2a39570fbf3652db53b7e6a20a9b59e7f6df067f699195c12b78bd3ea
4,45910479c91ad177ff91c84206a8d18d8f72081879ef32768a5baad9a2ed9f44
5,e23de75f5cafdd8efdffa004a980967e1dacd8d9b652658e1ad823d43578ff16
6,42ae4eeb104002a7d640b4db5fe1d2956ae99477b8d7c9ef1beace84d32d3057
7,98f41c14d4fa19b1b35b1c1894e1de71c60e7e93e09473c62faf6822ec234e69
8,ce40c2d03337b77df93baa7982f10e8e6fa0a20a9dc1373e18c4ee8834b0d342
9,d420b4d5d2645e149f31c7d512bed072bc7133abf60d2c35d780497830cf45f0
10,38b552a8a309536ad1238423c7b77addd602437478b7d2b9e7942542293e74c6
11,a94b3ba4ab7145632ffbd4f7e0e541e496f1001ba3adc02b9491721fad6bec0a
12,20bba47c1fd511f4a4b48c85a5f4623599d822c21aed5148db8d88605d8a0b22
13,d6d16318f8fe6dd560c90dc2524eb5fba2b13e4983eb49f084d85d6d73334a1a
14,3c1b24889330f6bd1c85bce127e1cd31cc9ef0534b06e2cf662625272e0e3815
15,a3d3fd0fd304a5c35d93d09c17dc38525ecb58d7d9d124d6e472f4d48fa1de22
16,705447e08885ac7936889252a4f19ba8650fcf0b42e0dc892079982eead18dbc
17,815b3979da288a64bd0d59916dc2d9db6d48d703f86cc890aca24e762fad1725
18,d68ef5771dcf0e9da37a1ba5b212844b4477c3f96d6dc35b4bf4e32e47a12728
19,cd0f61272ada99372dcb9a6bebff2a4321eab8d5edb2aad36145da1994dbdfbc
20,730354df876d844d001b1777c51c7ad5c0212f2776248b80a3a9ad54d0a136dc
21,c7cfedd477cc623e69d2ca8d05d4da2a90d7535af3b3ce67b8ff6a332e1e1764
22,20d9f07b81b9f123575c49697ab3e396826677893f06f593cc18fd3f70ce5b77
23,ad1ac82eaafd402dee7c82ac6e2211a6bb9237412a789e687c3b1d690e9a12c4
24,a1cd28563f7cb0e12866815d7fde11a71c1d90ef7db83a3959cbb21ba441153f
25,6d8a47656360b86bf669a6dbb2f0064bd5ca62bd42cc19b047b9524b6f6504dc
26,ad7312a7743260b4e548bd261f3b5bf550f841c2b037bb0a40af8e6c89b487a8
27,e56cb21eef68450fc181ffc528d11f7788eadeaca37edbbf9ccc388de021ba31
28,cbdd6519f7ad1afdc27e98c26c5f8db77e2e6387130e6a50666522889a72ecb0
29,eb5f491d148376dadedf20a4e3aa61cdba2f32648966d393811342e94d53012e
30,7481f0269c6abebdeb492cbc9b2ae44991918e9ad2c25ceb2ae5d16e73671101
31,2ebf341d466903c5276ac263482f7db584c5d07ffba6510dc6bafbe1118e0c95
32,ab8c83e26ef187990b91ee764934e366eafb839e0f3e90a86ec9f762cf1558fb
